国家/地区,业务状态,负责人,更新时间,备注
Grenada,暂未进入,,-,暂未进入
Guam,暂未进入,,-,暂未进入
Guatemala,规划评估中,战略评估组,2026-07-03,市场与合规评估
Guernsey,暂未进入,,-,暂未进入
Guinea,暂未进入,,-,暂未进入
Guinea-Bissau,暂未进入,,-,暂未进入
Guyana,暂未进入,,-,暂未进入
Haiti,暂未进入,,-,暂未进入
Heard I. and McDonald Is.,暂未进入,,-,暂未进入
Honduras,暂未进入,,-,暂未进入
Hong Kong,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Hungary,规划评估中,战略评估组,2026-07-03,市场与合规评估
Iceland,暂未进入,,-,暂未进入
India,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Indian Ocean Ter.,暂未进入,,-,暂未进入
Indonesia,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Iran,暂未进入,,-,暂未进入
Iraq,暂未进入,,-,暂未进入
Ireland,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Isle of Man,暂未进入,,-,暂未进入
Israel,规划评估中,战略评估组,2026-07-03,市场与合规评估
Italy,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Jamaica,暂未进入,,-,暂未进入
Japan,合规洽谈中,亚太区团队,2026-08-12,客户接洽/协议推进中
Jersey,暂未进入,,-,暂未进入
Jordan,规划评估中,战略评估组,2026-07-03,市场与合规评估
Kazakhstan,规划评估中,战略评估组,2026-07-03,市场与合规评估
Kenya,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Kiribati,暂未进入,,-,暂未进入
Kosovo,暂未进入,,-,暂未进入
Kuwait,规划评估中,战略评估组,2026-07-03,市场与合规评估
Kyrgyzstan,暂未进入,,-,暂未进入
Laos,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Latvia,暂未进入,,-,暂未进入
Lebanon,暂未进入,,-,暂未进入
Lesotho,暂未进入,,-,暂未进入
Liberia,暂未进入,,-,暂未进入
Libya,暂未进入,,-,暂未进入
Liechtenstein,暂未进入,,-,暂未进入
Lithuania,暂未进入,,-,暂未进入
Luxembourg,暂未进入,,-,暂未进入
Macao,暂未进入,,-,暂未进入
Macedonia,暂未进入,,-,暂未进入
Madagascar,暂未进入,,-,暂未进入
Malawi,暂未进入,,-,暂未进入
Malaysia,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Maldives,暂未进入,,-,暂未进入
Mali,暂未进入,,-,暂未进入
Malta,暂未进入,,-,暂未进入
Marshall Is.,暂未进入,,-,暂未进入
Mauritania,暂未进入,,-,暂未进入
Mauritius,暂未进入,,-,暂未进入
Mexico,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Micronesia,暂未进入,,-,暂未进入
Moldova,暂未进入,,-,暂未进入
Monaco,暂未进入,,-,暂未进入
Mongolia,规划评估中,战略评估组,2026-07-03,市场与合规评估
Montenegro,暂未进入,,-,暂未进入
Montserrat,暂未进入,,-,暂未进入
Morocco,规划评估中,战略评估组,2026-07-03,市场与合规评估
Mozambique,规划评估中,战略评估组,2026-07-03,市场与合规评估
Myanmar,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
N. Cyprus,暂未进入,,-,暂未进入
N. Mariana Is.,暂未进入,,-,暂未进入
Namibia,暂未进入,,-,暂未进入
Nauru,暂未进入,,-,暂未进入
Nepal,暂未进入,,-,暂未进入
Netherlands,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
New Caledonia,暂未进入,,-,暂未进入
New Zealand,规划评估中,战略评估组,2026-07-03,市场与合规评估
Nicaragua,暂未进入,,-,暂未进入
Niger,暂未进入,,-,暂未进入
Nigeria,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Niue,暂未进入,,-,暂未进入
Norfolk Island,暂未进入,,-,暂未进入
North Korea,暂未进入,,-,暂未进入
Norway,规划评估中,战略评估组,2026-07-03,市场与合规评估
Oman,规划评估中,战略评估组,2026-07-03,市场与合规评估
Pakistan,规划评估中,战略评估组,2026-07-03,市场与合规评估
Palau,暂未进入,,-,暂未进入
Palestine,暂未进入,,-,暂未进入
Panama,规划评估中,战略评估组,2026-07-03,市场与合规评估
Papua New Guinea,暂未进入,,-,暂未进入
Paraguay,暂未进入,,-,暂未进入
Peru,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Philippines,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Pitcairn Is.,暂未进入,,-,暂未进入
Poland,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Portugal,规划评估中,战略评估组,2026-07-03,市场与合规评估
Puerto Rico,暂未进入,,-,暂未进入
Qatar,规划评估中,战略评估组,2026-07-03,市场与合规评估
Romania,规划评估中,战略评估组,2026-07-03,市场与合规评估
Russia,暂未进入,,-,暂未进入
Rwanda,暂未进入,,-,暂未进入
S. Geo. and the Is.,暂未进入,,-,暂未进入
S. Sudan,暂未进入,,-,暂未进入
Saint Helena,暂未进入,,-,暂未进入
Saint Lucia,暂未进入,,-,暂未进入
Samoa,暂未进入,,-,暂未进入
San Marino,暂未进入,,-,暂未进入
Saudi Arabia,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Senegal,暂未进入,,-,暂未进入
Serbia,暂未进入,,-,暂未进入
Seychelles,暂未进入,,-,暂未进入
Siachen Glacier,暂未进入,,-,暂未进入
Sierra Leone,暂未进入,,-,暂未进入
Singapore,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Sint Maarten,暂未进入,,-,暂未进入
Slovakia,暂未进入,,-,暂未进入
Slovenia,暂未进入,,-,暂未进入
Solomon Is.,暂未进入,,-,暂未进入
Somalia,暂未进入,,-,暂未进入
Somaliland,暂未进入,,-,暂未进入
South Africa,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
South Korea,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Spain,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Sri Lanka,规划评估中,战略评估组,2026-07-03,市场与合规评估
St-Barthélemy,暂未进入,,-,暂未进入
St-Martin,暂未进入,,-,暂未进入
St. Kitts and Nevis,暂未进入,,-,暂未进入
St. Pierre and Miquelon,暂未进入,,-,暂未进入
St. Vin. and Gren.,暂未进入,,-,暂未进入
Sudan,暂未进入,,-,暂未进入
Suriname,暂未进入,,-,暂未进入
Sweden,规划评估中,战略评估组,2026-07-03,市场与合规评估
Switzerland,规划评估中,战略评估组,2026-07-03,市场与合规评估
Syria,暂未进入,,-,暂未进入
São Tomé and Principe,暂未进入,,-,暂未进入
Taiwan,暂未进入,,-,暂未进入
Tajikistan,暂未进入,,-,暂未进入
Tanzania,规划评估中,战略评估组,2026-07-03,市场与合规评估
Thailand,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
Timor-Leste,暂未进入,,-,暂未进入
Togo,暂未进入,,-,暂未进入
Tonga,暂未进入,,-,暂未进入
Trinidad and Tobago,暂未进入,,-,暂未进入
Tunisia,规划评估中,战略评估组,2026-07-03,市场与合规评估
Turkey,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Turkmenistan,暂未进入,,-,暂未进入
Turks and Caicos Is.,暂未进入,,-,暂未进入
U.S. Virgin Is.,暂未进入,,-,暂未进入
Uganda,规划评估中,战略评估组,2026-07-03,市场与合规评估
Ukraine,规划评估中,战略评估组,2026-07-03,市场与合规评估
United Arab Emirates,已合规上线,区域运营团队,2026-08-27,已落地运营，合规就绪
United Kingdom,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
United States of America,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
Uruguay,暂未进入,,-,暂未进入
Uzbekistan,规划评估中,战略评估组,2026-07-03,市场与合规评估
Vanuatu,暂未进入,,-,暂未进入
Vatican,暂未进入,,-,暂未进入
Venezuela,规划评估中,战略评估组,2026-07-03,市场与合规评估
Vietnam,合规洽谈中,商务拓展团队,2026-08-12,客户接洽/协议推进中
W. Sahara,暂未进入,,-,暂未进入
Wallis and Futuna Is.,暂未进入,,-,暂未进入
Yemen,暂未进入,,-,暂未进入
Zambia,暂未进入,,-,暂未进入
Zimbabwe,暂未进入,,-,暂未进入
eSwatini,暂未进入,,-,暂未进入
Åland,暂未进入,,-,暂未进入
